id,decided_on,decided_by,topic,decision,rationale,standard_hook,affects,status,superseded_by,created_at
1,2026-08-01,Michelle,Standing data rule,"All data must be real. Missing data is flagged, never filled with an estimate or placeholder unless Michelle states the assumption.",Prevents silent assumptions reaching client-facing figures.,"ISO 14064-1 4.5 accuracy, 4.6 transparency",All surfaces,active,,2026-08-21 10:01:35.49496+00
2,2026-08-03,Michelle,Sludge unit conversion,"1 m3 of sludge = 1,000 kg (density 1.0 t/m3). Applied to sludge_requested_t / sludge_actual_t.","Every source document records sludge in m3; columns are tonnes. Oily sludge is slightly less dense than water so 1.0 mildly overstates mass - stated uniform assumption, not a measurement.",ISO 14064-1 6.2 quantification approach,"PIL sludge tonnage, Cat 5",active,,2026-08-21 10:01:35.49496+00
3,2026-07-31,Michelle,Factor rebase to SEFR,"Live carbon computes on SEFR (NEA-sourced) factors: waste general 0.1115 tCO2e/t, avoided 0.1115. Exact key match, no regex fallback ranges.",SEFR is the official SG registry; previous 0.35 WtE was ~3x overstated.,GHG Protocol Cat 5; SEFR provenance,All client carbon figures,active,,2026-08-21 10:01:35.49496+00
4,2026-08-05,Michelle,Cat C representative material,Domestic waste (Cat C) uses the SEFR paper/cardboard incineration factor 1.5305 as representative material.,Domestic waste is mixed; paper/cardboard chosen as representative.,SEFR waste|paper_cardboard,Cat 5 per-material computation,active,,2026-08-21 10:01:35.49496+00
5,2026-08-06,Michelle,Sludge counts as recovery,Sludge routed to GreenTec Energy remains in the RECOVERED bucket.,NEA national statistics include fuel recovery at dedicated facilities inside Total Recycled; GreenTec is an NEA-licensed TIW collector whose core business is waste-oil recovery.,NEA waste statistics definitions,"Recovery rate, diversion report",active,,2026-08-21 10:01:35.49496+00
6,2026-07-31,Michelle,Avoided emissions construct,"Avoided = avoided incineration only, at 0.1115 tCO2e per diverted tonne. Material-substitution credits (paper 0.9 / plastics 1.1 / metals 1.5) are NOT used.",Conservative construct; substitution credits would need SEFR/WARM verification first.,GHG Protocol avoided emissions guidance,CO2e saved KPI,active,,2026-08-21 10:01:35.49496+00
7,2026-08-12,Michelle,Recovery defined by route,"Everything handed to GreenTec or Asia Recycling counts as recovered. Recovery is defined by confirmed disposal ROUTE to a licensed recovery facility, not by downstream yield.",Stated methodology decision; facility yield data not collected. Route-vs-yield question put to ISO expert (Q5).,ISO 14064-1 6.2; assurance risk flagged,Recovery rate - headline client metric,active,,2026-08-21 10:01:35.49496+00
8,2026-08-12,Michelle,Volume-to-weight densities,"Where no weighbridge weight exists, volume converts at US EPA Volume-to-Weight (Apr 2016) per-category loose densities. Actual SEF/weighbridge weight is used when recorded.","No Singapore density factor exists (NEA, GWC CoP, SEFR, EMA, IMO all checked). EPA is a stated US proxy pending the local weighing exercise.",NEA M&R wet-weight expectation; ISO Annex C,All tonnage and carbon when unweighed (currently 100 percent),active,,2026-08-21 10:01:35.49496+00
9,2026-08-12,Michelle,Oily rags factor,"Oily rags use the SEFR textile incineration factor 1.4791, replacing the 0.1115 proxy.",SEFR free set carries the full 11-category list including textile.,SEFR waste|textile,Cat 5 for rags stream,active,,2026-08-21 10:01:35.49496+00
10,2026-08-12,"Claude (methodology, standing)",Recovery percentage basis,Recovery rate is computed BY VOLUME (m3 ratio). Diversion tonnes are BY MASS. Basis now stated on both surfaces (18 Aug).,Volume ratio carries no density assumption and is exact; mass depends on EPA proxy densities.,Transparency principle,Recovery KPI vs diversion panel,active,,2026-08-21 10:01:35.49496+00
11,2026-08-18,"Claude (flagged, pending expert)",Waste transport boundary,Transport of waste to the disposal facility is EXCLUDED from Cat 5 / Cat 4.3. Treatment only.,GHG Protocol makes transport optional in Cat 5; ISO Annex B.5.4(a) allows Cat 4 or Cat 3 but requires the choice to be stated. Disclosure wording pending expert (Q9).,ISO 14064-1 Annex B.5.4(a),Cat 5 boundary,active,,2026-08-21 10:01:35.49496+00
12,2026-08-18,"Claude (flagged, pending expert)",Recycling allocation,"Recovered tonnage (Cat A, D, I, sludge) carries a ZERO emission factor. Only disposal is charged.",Cut-off style allocation. ISO B.5.4(a) lists recycling as a treatment with emissions; SEFR publishes no recycling factors. Documented here per s6.2; acceptability + factor source put to expert (Q5b).,"ISO 14064-1 Annex B.5.4(a), 6.2","Cat 5, recovery reporting",active,,2026-08-21 10:01:35.49496+00
13,2026-08-06,"Claude (methodology, disclosed)",Biogenic split method,Biogenic/fossil/inert split is a volume-apportioned disclosure of the SAME blended cat5 total; headline cannot move by construction.,KNOWN GAP 18 Aug: ISO 5.2.4 + Annex D require gas-level separation; a mass apportionment of blended CO2e does not satisfy it. Rebuild from IPCC Vol 5 Ch 5 parameters pending expert (Q1/Q2).,"ISO 14064-1 5.2.4, Annex D (normative)",Biogenic disclosure - currently non-conformant,active,,2026-08-21 10:01:35.49496+00
14,2026-08-21,"Michelle (architecture step 3, executed by Claude)",Temporal factor resolution,"The report engine resolves emission factors by (key, reporting period): the factor whose valid_from/valid_to window covers the reporting month is used; among several, the latest valid_from wins. A month before any factor was valid falls back to the earliest row and the output is flagged factor_vintage_fallback=true. A missing key fails loud (factor_missing), never guesses.","ISO 14064-1 Annex E (normative) requires the grid factor from the emissions year being reported; selecting latest is non-conformant. Deployed ahead of the EMA 2025 GEF-OM publication (due Oct-Nov 2026) so the new value is an insert, not a scramble. Output verified byte-identical to the pre-change baseline (single factor vintage currently loaded).",ISO 14064-1 Annex E; 5 Aug 2026 pinned-key incident,All carbon figures on all client surfaces,active,,2026-08-21 10:42:48.729604+00
