id,framework,clause,requirement_text,applies_to,lirich_status,blocking,evidence_ref,notes,next_review,created_at,updated_at
1,NEA M&R / ISO 14064-1,C.4 / 6.2,"Waste quantity on a measured (wet weight) basis - weighbridge, not volume conversion",All tonnage,blocked,t,,"0 percent weighed. Weighing exercise designed, not run. B1-1.",2026-09-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
2,ISO 14064-1,9.3.1,"Emissions quantified separately per gas (CO2, CH4, N2O, NF3, SF6, HFCs, PFCs)",All inventories,blocked,t,,SEFR factors are blended CO2e. Rebuild from IPCC Vol 5 Ch 5 or obtain per-gas factors. Expert Q2. B1-2.,2026-09-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
3,ISO 14064-1,5.2.4 + Annex D,Biogenic CO2 separated as a gas within each category; biogenic CH4/N2O stay anthropogenic,Cat 4.3 waste,blocked,t,,Current split is mass apportionment of a blend - non-conformant. Expert Q1. B1-3.,2026-09-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
4,ISO 14064-1,B.5.4(a) + 6.2,"Recycling treatment allocation documented (currently zero factor, undeclared until 18 Aug)",Recovery reporting,partial,t,,Now documented in methodology_decisions. Factor source question open (SEFR has none; BEIS?). Expert Q5b. B1-4.,2026-09-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
5,Assurance,-,Recovery evidenced by facility yield if route-based recovery is rejected by VVB,Recovery rate,partial,t,,Route-based decision documented 12 Aug. Yield data not collected - commercial lead time. Expert Q5. B1-5.,2026-09-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
6,ISO 14064-1,B.5.4(a),"Waste transport included in Cat 4 or Cat 3, or exclusion stated",Cat 5 boundary,partial,t,,Excluded; now documented. Disclosure wording pending expert Q9. B1-6.,2026-09-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
7,Evidence,-,Per-job source documents (SEFs) behind all loaded sludge tonnage,PIL sludge 161.2 t,blocked,t,,SEF-pending rows loaded from PIL management report. Chase Sheryl. B1-7.,2026-09-15,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
8,ISO 14064-1,8.1,"Quality Management Framework: responsibilities, monitoring plan, source diagram, checks, training",Lirich programme,not_started,f,,B2-8. A VVB asks for this on day one.,2026-10-31,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
9,ISO 14064-1,8.2,Document retention and record keeping procedure (10 years usual practice),Lirich programme,partial,f,,3 backup layers exist; written procedure does not. B2-9.,2026-10-31,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
10,ISO 14064-1,8.3,Uncertainty assessment per category,All inventories,not_started,f,,"factors.uncertainty_pct column exists, unpopulated. B2-10.",2026-10-31,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
11,ISO 14064-1,C.4.4,Measuring instruments calibrated within manufacturer-specified frequency; certificates held,Weighbridge data,not_started,f,,Collect weighbridge calibration certificates. B2-11.,2026-10-31,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
12,ISO 14064-1,C.4.5,Written procedure for conservative surrogate data when data gaps occur,All inventories,not_started,f,,B2-12.,2026-10-31,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
13,ISO 14064-1,C.4.6,"Record keeping: activity data, defaults used, calibration results, approach justification",All inventories,partial,f,,SSOT holds most; no formal register. B2-13.,2026-10-31,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
14,ISO 14064-1,5.1,Organisational boundary + consolidation approach documented per client,Each client,not_started,f,,T0 template planned. B3-14.,2026-11-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
15,ISO 14064-1,5.2 + Annex H,Reporting boundary + significance criteria for S/NS classification,Each client,not_started,f,,T1 template planned. B3-15.,2026-11-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
17,ISO 14064-1,9.3.1,GWP vintage declared (SEFR = AR5); no mixed vintages within one report,All reports,partial,f,,Declared on ISO shell; not on all surfaces. Expert Q8 AR5 vs AR6. B3-17.,2026-11-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
18,ISO 14064-1,Annex E (normative),Grid factor from the emissions year being reported; GEF-OM is CO2-only - state coverage,Scope 2,partial,f,,"0.402 = 2024 vintage. Engine must resolve (key, period) - architecture step 3. EMA 2025 value due Oct-Nov. B3-18.",2026-10-15,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
19,ISO 14064-1,6.2,Diesel EF provenance; fuel derived at 0.50 L/km without sensor disclosed,Scope 1 fleet,partial,f,,Factor 2.678 unverified; distance-derived litres. Expert Q10. B3-19.,2026-11-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
20,Good practice,-,Data quality tiering disclosed (weighed / route-confirmed / document-backed),All reports,partial,f,,Live on dashboard as data-quality line; not in formal disclosures. B3-20.,2026-11-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
16,ISO 14064-1,6.4,Base-year inventory selected and established,Each client,partial,f,,Not established for ANY client. Blocks targets/SBTi/trend. B3-16. 21 Aug 2026: FY2026 proposed as base year per client (first complete capture year); declaration drafts in Lirich_Base_Year_Declarations.md; pending Michelle/client ratification.,2026-11-30,2026-08-21 10:01:35.49496+00,2026-08-21 10:01:35.49496+00
