tab,label,sort_order,sensitive,notes
master,Master data,1,t,"Client names, addresses, contacts and pricing. Commercially sensitive."
collections,Collections / DO,2,t,Client tonnages and weight adjustments.
jobcard,Job card / Salary,3,t,Driver pay. Restrict.
samples,Report samples,4,f,Template links only.
nea,NEA Register,5,f,Regulatory register.
directory,Directory,6,f,Links and procedures. Safe for all staff.
marine,Marine pipeline,7,f,Marine enquiries and deals.
salary_approve,Salary approval,90,t,May approve/unlock monthly driver salaries
vision,Facility Vision,80,t,23 Gul Drive concept model - restricted to Michelle and Qris (12 Aug 2026)
reqs,Compliance,9,t,Requirements register + methodology decisions (Reference Library). Added 21 Aug 2026.
cards,Name cards,10,f,Digital name cards with on-page QR. Deployed 21 Aug 2026.
