id,template_id,kind,name,framework,build_status,structure,notes,created_at
2,R2,output,Full GHG Inventory Report (5 chapters),ISO 14064-1 9.3.1 + Annex F,not_built,{},"",2026-08-21 10:01:35.49496+00
4,R4,output,Waste Emissions Statement - Scope 3 Cat 5,GHG Protocol / ISO Cat 4.3,live,{},Catalog id wes. Free. Feeds R1 Cat 4.3 one-way.,2026-08-21 10:01:35.49496+00
5,R5,output,Waste Diversion and Avoided Emissions,-,live,{},Catalog id div. Free. Basis + sludge split added 18 Aug.,2026-08-21 10:01:35.49496+00
6,R6,output,Footprint Analytics,-,live,{},Catalog id analytics. Free.,2026-08-21 10:01:35.49496+00
8,R8,output,RSA Mandatory Packaging Reporting + 3R,Resource Sustainability Act,built,{},Catalog id rsa. Submission window Jan-Mar annually.,2026-08-21 10:01:35.49496+00
9,R9,output,CDP Climate Disclosure,CDP,built,{},Catalog id cdp.,2026-08-21 10:01:35.49496+00
11,R11,output,Reduction Targets and Net-Zero Pathway,SBTi-style,built,{},Catalog id tgt. Blocked in practice by missing base years.,2026-08-21 10:01:35.49496+00
12,R12,output,Peer Benchmarking,-,built,{},Catalog id bench.,2026-08-21 10:01:35.49496+00
13,R13,output,Carbon Credit / Insetting Statement,ISO 14064-2 + registry,built,{},Catalog id cred. Real issuance gated on additionality.,2026-08-21 10:01:35.49496+00
15,R15,output,ISO 14064-2 Project Statement,ISO 14064-2,not_built,{},Credits only. Recognised-origin criteria required.,2026-08-21 10:01:35.49496+00
20,T4,input,"Category 1 - Direct (fuels, process, refrigerants, LULUCF)",ISO Annex B,not_built,{},"",2026-08-21 10:01:35.49496+00
21,T5,input,Category 2 - Imported energy incl. contractual instruments,ISO Annex E,not_built,{},Highest-value client input.,2026-08-21 10:01:35.49496+00
22,T6,input,"Category 3 - Transportation (freight, commuting, travel)",ISO Annex B,not_built,{},"",2026-08-21 10:01:35.49496+00
23,T7,input,Category 4 - Products used (waste row PRE-FILLED by Lirich),ISO Annex B,not_built,{},"",2026-08-21 10:01:35.49496+00
24,T8,input,"Category 5 - Products sold (use stage, end of life, investments)",ISO Annex B,not_built,{},"",2026-08-21 10:01:35.49496+00
25,T9,input,Category 6 - Other organisation-defined sources,ISO Annex B,not_built,{},"",2026-08-21 10:01:35.49496+00
26,T10,input,Reduction initiatives and targets,ISO 7.1-7.3,not_built,{},"",2026-08-21 10:01:35.49496+00
27,T11,input,Quality management framework,ISO 8.1,not_built,{},"",2026-08-21 10:01:35.49496+00
28,T12,input,Records and retention,ISO 8.2,not_built,{},"",2026-08-21 10:01:35.49496+00
1,R1,output,Consolidated GHG Statement,ISO 14064-1 Annex F,shell,"{""gwp"": {""CH4"": 28, ""CO2"": 1, ""N2O"": 265, ""note"": ""per IPCC AR5 via SEFR - confirm against client basis"", ""vintage"": ""AR5""}, ""rows"": [[""c"", ""1"", ""Category 1 : Direct GHG emissions and removals"", ""x""], [""s"", ""1.1"", ""Direct emissions from stationary combustion"", ""x""], [""s"", ""1.2"", ""Direct emissions from mobile combustion"", ""x""], [""s"", ""1.3"", ""Direct process emissions and removals from industrial processes"", ""x""], [""s"", ""1.4"", ""Direct fugitive emissions from release of GHGs in anthropogenic systems"", ""x""], [""s"", ""1.5"", ""Direct emissions and removals from Land Use, Land Use Change and Forestry"", ""x""], [""m"", """", ""Direct emissions in tonnes of CO2 from biomass (Annex D - reported separately)"", ""m""], [""c"", ""2"", ""Category 2 : Indirect GHG emissions from imported energy"", ""x""], [""s"", ""2.1"", ""Indirect emissions from imported electricity (location-based, Annex E)"", ""x""], [""s"", ""2.2"", ""Indirect emissions from other imported energy - heat, steam, cooling"", ""x""], [""c"", ""3"", ""Category 3 : Indirect GHG emissions from transportation"", ""x""], [""s"", ""3.1"", ""Upstream transport and distribution for goods"", ""x""], [""s"", ""3.2"", ""Downstream transport and distribution for goods"", ""x""], [""s"", ""3.3"", ""Employee commuting"", ""x""], [""s"", ""3.4"", ""Client and visitor transport"", ""x""], [""s"", ""3.5"", ""Business travel"", ""x""], [""c"", ""4"", ""Category 4 : Indirect GHG emissions from products used by the organization"", ""p""], [""s"", ""4.1"", ""Purchased goods"", ""x""], [""s"", ""4.2"", ""Capital goods"", ""x""], [""s"", ""4.3"", ""Disposal of solid and liquid waste"", ""L""], [""s"", ""4.4"", ""Use of assets (leased)"", ""x""], [""s"", ""4.5"", ""Use of other services"", ""x""], [""c"", ""5"", ""Category 5 : Indirect GHG emissions associated with use of products from the organization"", ""x""], [""s"", ""5.1"", ""Use stage of the product"", ""x""], [""s"", ""5.2"", ""Downstream leased assets"", ""x""], [""s"", ""5.3"", ""End of life stage of the product"", ""x""], [""s"", ""5.4"", ""Investments"", ""x""], [""c"", ""6"", ""Category 6 : Indirect GHG emissions from other sources"", ""x""]], ""notes"": ""Gas columns render pending until factors carry per-gas coverage. Cat 4.3 fills from aggWaste(period).cat5 (wes engine, one-way)."", ""source"": ""ISO 14064-1:2018 Annex F Figure F.1"", ""columns"": [""Emissions"", ""Notes"", ""S/NS"", ""TOTAL tCO2e"", ""CO2"", ""CH4"", ""N2O"", ""HFCs"", ""PFCs"", ""SF6"", ""NF3"", ""Other"", ""Quant. uncert."", ""Qual. uncert.""], ""version"": 1, ""renderer"": ""iso_annexF_v1"", ""row_format"": ""[level c=category s=subcategory m=memo, clause id, label, state x=client p=mixed l=lirich m=memo]"", ""lirich_rows"": [""4.3""]}",Live on page 2691 as locked report iso. Gas columns pending. STRUCTURE LOADED 21 Aug 2026 (templates-as-data step 4): 28 Annex F rows + 14 columns + GWP block; renderer iso_annexF_v1 on page 2691 consumes it with hardcoded fallback.,2026-08-21 10:01:35.49496+00
